ElectionDate	OfficeCode(Text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyName	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nominated(N)/Elected(E),
2020-11-03	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	12	BRANCH	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	14	CASS	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		5435			,
2020-11-03	01	00000	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		10171			,
2020-11-03	01	00000	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			194			,
2020-11-03	01	00000	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			18			,
2020-11-03	01	00000	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			23			,
2020-11-03	01	00000	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			8			,
2020-11-03	01	00000	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		6651			,
2020-11-03	01	00000	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		10682			,
2020-11-03	01	00000	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			233			,
2020-11-03	01	00000	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			26			,
2020-11-03	01	00000	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			39			,
2020-11-03	01	00000	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			13			,
2020-11-03	01	00000	0	18	CLARE	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	18	CLARE	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	18	CLARE	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	18	CLARE	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	18	CLARE	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	18	CLARE	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	19	CLINTON	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	19	CLINTON	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	19	CLINTON	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	19	CLINTON	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	19	CLINTON	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	19	CLINTON	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	21	DELTA	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		7605			,
2020-11-03	01	00000	0	21	DELTA	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		13206			,
2020-11-03	01	00000	0	21	DELTA	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			249			,
2020-11-03	01	00000	0	21	DELTA	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			33			,
2020-11-03	01	00000	0	21	DELTA	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			42			,
2020-11-03	01	00000	0	21	DELTA	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			14			,
2020-11-03	01	00000	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		4569			,
2020-11-03	01	00000	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		8469			,
2020-11-03	01	00000	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			166			,
2020-11-03	01	00000	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			14			,
2020-11-03	01	00000	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			15			,
2020-11-03	01	00000	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			10			,
2020-11-03	01	00000	0	23	EATON	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	23	EATON	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	23	EATON	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	23	EATON	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	23	EATON	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	23	EATON	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	24	EMMET	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		9662			,
2020-11-03	01	00000	0	24	EMMET	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		12135			,
2020-11-03	01	00000	0	24	EMMET	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			284			,
2020-11-03	01	00000	0	24	EMMET	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			26			,
2020-11-03	01	00000	0	24	EMMET	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			59			,
2020-11-03	01	00000	0	24	EMMET	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			10			,
2020-11-03	01	00000	0	25	GENESEE	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	25	GENESEE	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	25	GENESEE	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	25	GENESEE	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	25	GENESEE	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	25	GENESEE	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		3573			,
2020-11-03	01	00000	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		4600			,
2020-11-03	01	00000	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			67			,
2020-11-03	01	00000	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			4			,
2020-11-03	01	00000	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			21			,
2020-11-03	01	00000	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			4			,
2020-11-03	01	00000	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		7755			,
2020-11-03	01	00000	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		10380			,
2020-11-03	01	00000	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			285			,
2020-11-03	01	00000	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			28			,
2020-11-03	01	00000	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			49			,
2020-11-03	01	00000	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			11			,
2020-11-03	01	00000	0	32	HURON	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		5349			,
2020-11-03	01	00000	0	32	HURON	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		11949			,
2020-11-03	01	00000	0	32	HURON	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			139			,
2020-11-03	01	00000	0	32	HURON	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			22			,
2020-11-03	01	00000	0	32	HURON	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			32			,
2020-11-03	01	00000	0	32	HURON	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			17			,
2020-11-03	01	00000	0	33	INGHAM	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
