ElectionDate	PartyCode	PartyName	RaceCode	RaceName	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/03/2020	REP	Republican Party	PRE	President of the United States	SEM	Seminole	   	 	91	79	Pence	Trump	 / 	124605
11/03/2020	REP	Republican Party	PRE	President of the United States	STJ	St. Johns	   	 	48	0	Pence	Trump	 / 	110081
11/03/2020	REP	Republican Party	PRE	President of the United States	STL	St. Lucie	   	 	64	0	Pence	Trump	 / 	83940
11/03/2020	REP	Republican Party	PRE	President of the United States	SUM	Sumter	   	 	26	26	Pence	Trump	 / 	62753
11/03/2020	REP	Republican Party	PRE	President of the United States	SUW	Suwannee	   	 	16	16	Pence	Trump	 / 	16387
11/03/2020	REP	Republican Party	PRE	President of the United States	TAY	Taylor	   	 	14	14	Pence	Trump	 / 	7725
11/03/2020	REP	Republican Party	PRE	President of the United States	UNI	Union	   	 	8	8	Pence	Trump	 / 	5130
11/03/2020	REP	Republican Party	PRE	President of the United States	VOL	Volusia	   	 	125	111	Pence	Trump	 / 	152371
11/03/2020	REP	Republican Party	PRE	President of the United States	WAK	Wakulla	   	 	12	12	Pence	Trump	 / 	9054
11/03/2020	REP	Republican Party	PRE	President of the United States	WAL	Walton	   	 	21	18	Pence	Trump	 / 	32429
11/03/2020	REP	Republican Party	PRE	President of the United States	WAS	Washington	   	 	12	12	Pence	Trump	 / 	5019
11/03/2020	DEM	Democratic Party	PRE	President of the United States	ALA	Alachua	   	 	63	63	Harris	Biden	 / 	88922
11/03/2020	DEM	Democratic Party	PRE	President of the United States	BAK	Baker	   	 	9	9	Harris	Biden	 / 	2037
11/03/2020	DEM	Democratic Party	PRE	President of the United States	BAY	Bay	   	 	44	0	Harris	Biden	 / 	12249
11/03/2020	DEM	Democratic Party	PRE	President of the United States	BRA	Bradford	   	 	14	14	Harris	Biden	 / 	3160
11/03/2020	DEM	Democratic Party	PRE	President of the United States	BRE	Brevard	   	 	171	165	Harris	Biden	 / 	145620
11/03/2020	DEM	Democratic Party	PRE	President of the United States	BRO	Broward	   	 	577	461	Harris	Biden	 / 	594112
11/03/2020	DEM	Democratic Party	PRE	President of the United States	CAL	Calhoun	   	 	11	0	Harris	Biden	 / 	925
11/03/2020	DEM	Democratic Party	PRE	President of the United States	CHA	Charlotte	   	 	68	11	Harris	Biden	 / 	38564
11/03/2020	DEM	Democratic Party	PRE	President of the United States	CIT	Citrus	   	 	31	31	Harris	Biden	 / 	27049
11/03/2020	DEM	Democratic Party	PRE	President of the United States	CLA	Clay	   	 	47	35	Harris	Biden	 / 	37296
11/03/2020	DEM	Democratic Party	PRE	President of the United States	CLL	Collier	   	 	60	57	Harris	Biden	 / 	76622
11/03/2020	DEM	Democratic Party	PRE	President of the United States	CLM	Columbia	   	 	22	22	Harris	Biden	 / 	8900
11/03/2020	DEM	Democratic Party	PRE	President of the United States	DAD	Miami-Dade	   	 	866	415	Harris	Biden	 / 	580748
11/03/2020	DEM	Democratic Party	PRE	President of the United States	DES	Desoto	   	 	15	0	Harris	Biden	 / 	4249
11/03/2020	DEM	Democratic Party	PRE	President of the United States	DIX	Dixie	   	 	10	10	Harris	Biden	 / 	1364
11/03/2020	DEM	Democratic Party	PRE	President of the United States	DUV	Duval	   	 	199	195	Harris	Biden	 / 	250597
11/03/2020	DEM	Democratic Party	PRE	President of the United States	ESC	Escambia	   	 	80	73	Harris	Biden	 / 	68554
11/03/2020	DEM	Democratic Party	PRE	President of the United States	FLA	Flagler	   	 	26	26	Harris	Biden	 / 	28124
11/03/2020	DEM	Democratic Party	PRE	President of the United States	FRA	Franklin	   	 	8	0	Harris	Biden	 / 	2115
11/03/2020	DEM	Democratic Party	PRE	President of the United States	GAD	Gadsden	   	 	25	25	Harris	Biden	 / 	16139
11/03/2020	DEM	Democratic Party	PRE	President of the United States	GIL	Gilchrist	   	 	10	10	Harris	Biden	 / 	1700
11/03/2020	DEM	Democratic Party	PRE	President of the United States	GLA	Glades	   	 	13	11	Harris	Biden	 / 	1384
11/03/2020	DEM	Democratic Party	PRE	President of the United States	GUL	Gulf	   	 	10	10	Harris	Biden	 / 	1985
11/03/2020	DEM	Democratic Party	PRE	President of the United States	HAM	Hamilton	   	 	8	8	Harris	Biden	 / 	1959
11/03/2020	DEM	Democratic Party	PRE	President of the United States	HAR	Hardee	   	 	12	12	Harris	Biden	 / 	2291
11/03/2020	DEM	Democratic Party	PRE	President of the United States	HEN	Hendry	   	 	10	10	Harris	Biden	 / 	4925
11/03/2020	DEM	Democratic Party	PRE	President of the United States	HER	Hernando	   	 	32	32	Harris	Biden	 / 	37446
11/03/2020	DEM	Democratic Party	PRE	President of the United States	HIG	Highlands	   	 	25	23	Harris	Biden	 / 	16813
11/03/2020	DEM	Democratic Party	PRE	President of the United States	HIL	Hillsborough	   	 	390	370	Harris	Biden	 / 	369162
11/03/2020	DEM	Democratic Party	PRE	President of the United States	HOL	Holmes	   	 	8	0	Harris	Biden	 / 	890
11/03/2020	DEM	Democratic Party	PRE	President of the United States	IND	Indian River	   	 	35	35	Harris	Biden	 / 	37497
11/03/2020	DEM	Democratic Party	PRE	President of the United States	JAC	Jackson	   	 	14	14	Harris	Biden	 / 	6749
11/03/2020	DEM	Democratic Party	PRE	President of the United States	JEF	Jefferson	   	 	16	16	Harris	Biden	 / 	3893
11/03/2020	DEM	Democratic Party	PRE	President of the United States	LAF	Lafayette	   	 	5	5	Harris	Biden	 / 	507
11/03/2020	DEM	Democratic Party	PRE	President of the United States	LAK	Lake	   	 	104	102	Harris	Biden	 / 	83072
11/03/2020	DEM	Democratic Party	PRE	President of the United States	LEE	Lee	   	 	127	124	Harris	Biden	 / 	153379
11/03/2020	DEM	Democratic Party	PRE	President of the United States	LEO	Leon	   	 	156	143	Harris	Biden	 / 	102107
11/03/2020	DEM	Democratic Party	PRE	President of the United States	LEV	Levy	   	 	13	0	Harris	Biden	 / 	6188
11/03/2020	DEM	Democratic Party	PRE	President of the United States	LIB	Liberty	   	 	8	2	Harris	Biden	 / 	537
11/03/2020	DEM	Democratic Party	PRE	President of the United States	MAD	Madison	   	 	11	0	Harris	Biden	 / 	3564
11/03/2020	DEM	Democratic Party	PRE	President of the United States	MAN	Manatee	   	 	70	70	Harris	Biden	 / 	88275
11/03/2020	DEM	Democratic Party	PRE	President of the United States	MON	Monroe	   	 	33	31	Harris	Biden	 / 	21737
11/03/2020	DEM	Democratic Party	PRE	President of the United States	MRN	Marion	   	 	122	106	Harris	Biden	 / 	73496
11/03/2020	DEM	Democratic Party	PRE	President of the United States	MRT	Martin	   	 	28	28	Harris	Biden	 / 	36873
11/03/2020	DEM	Democratic Party	PRE	President of the United States	NAS	Nassau	   	 	15	15	Harris	Biden	 / 	15489
11/03/2020	DEM	Democratic Party	PRE	President of the United States	OKA	Okaloosa	   	 	52	46	Harris	Biden	 / 	33275
11/03/2020	DEM	Democratic Party	PRE	President of the United States	OKE	Okeechobee	   	 	11	8	Harris	Biden	 / 	4234
11/03/2020	DEM	Democratic Party	PRE	President of the United States	ORA	Orange	   	 	247	244	Harris	Biden	 / 	391016
11/03/2020	DEM	Democratic Party	PRE	President of the United States	OSC	Osceola	   	 	101	0	Harris	Biden	 / 	84247
11/03/2020	DEM	Democratic Party	PRE	President of the United States	PAL	Palm Beach	   	 	872	828	Harris	Biden	 / 	420612
11/03/2020	DEM	Democratic Party	PRE	President of the United States	PAS	Pasco	   	 	111	105	Harris	Biden	 / 	116567
11/03/2020	DEM	Democratic Party	PRE	President of the United States	PIN	Pinellas	   	 	301	297	Harris	Biden	 / 	275293
11/03/2020	DEM	Democratic Party	PRE	President of the United States	POL	Polk	   	 	167	0	Harris	Biden	 / 	139794
11/03/2020	DEM	Democratic Party	PRE	President of the United States	PUT	Putnam	   	 	35	0	Harris	Biden	 / 	10401
11/03/2020	DEM	Democratic Party	PRE	President of the United States	SAN	Santa Rosa	   	 	41	23	Harris	Biden	 / 	24440
11/03/2020	DEM	Democratic Party	PRE	President of the United States	SAR	Sarasota	   	 	101	99	Harris	Biden	 / 	118684
11/03/2020	DEM	Democratic Party	PRE	President of the United States	SEM	Seminole	   	 	91	79	Harris	Biden	 / 	131553
11/03/2020	DEM	Democratic Party	PRE	President of the United States	STJ	St. Johns	   	 	48	0	Harris	Biden	 / 	63504
11/03/2020	DEM	Democratic Party	PRE	President of the United States	STL	St. Lucie	   	 	64	0	Harris	Biden	 / 	81921
11/03/2020	DEM	Democratic Party	PRE	President of the United States	SUM	Sumter	   	 	26	26	Harris	Biden	 / 	29326
11/03/2020	DEM	Democratic Party	PRE	President of the United States	SUW	Suwannee	   	 	16	16	Harris	Biden	 / 	4480
11/03/2020	DEM	Democratic Party	PRE	President of the United States	TAY	Taylor	   	 	14	14	Harris	Biden	 / 	2288
11/03/2020	DEM	Democratic Party	PRE	President of the United States	UNI	Union	   	 	8	8	Harris	Biden	 / 	1052
11/03/2020	DEM	Democratic Party	PRE	President of the United States	VOL	Volusia	   	 	125	111	Harris	Biden	 / 	121881
11/03/2020	DEM	Democratic Party	PRE	President of the United States	WAK	Wakulla	   	 	12	12	Harris	Biden	 / 	4107
11/03/2020	DEM	Democratic Party	PRE	President of the United States	WAL	Walton	   	 	21	18	Harris	Biden	 / 	10256
11/03/2020	DEM	Democratic Party	PRE	President of the United States	WAS	Washington	   	 	12	12	Harris	Biden	 / 	1376
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	ALA	Alachua	   	 	63	63	Cohen	Jorgensen	 / 	1366
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	BAK	Baker	   	 	9	9	Cohen	Jorgensen	 / 	93
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	BAY	Bay	   	 	44	0	Cohen	Jorgensen	 / 	296
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	BRA	Bradford	   	 	14	14	Cohen	Jorgensen	 / 	110
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	BRE	Brevard	   	 	171	165	Cohen	Jorgensen	 / 	3068
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	BRO	Broward	   	 	577	461	Cohen	Jorgensen	 / 	2819
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	CAL	Calhoun	   	 	11	0	Cohen	Jorgensen	 / 	19
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	CHA	Charlotte	   	 	68	11	Cohen	Jorgensen	 / 	380
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	CIT	Citrus	   	 	31	31	Cohen	Jorgensen	 / 	548
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	CLA	Clay	   	 	47	35	Cohen	Jorgensen	 / 	1216
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	CLL	Collier	   	 	60	57	Cohen	Jorgensen	 / 	869
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	CLM	Columbia	   	 	22	22	Cohen	Jorgensen	 / 	224
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	DAD	Miami-Dade	   	 	866	415	Cohen	Jorgensen	 / 	2926
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	DES	Desoto	   	 	15	0	Cohen	Jorgensen	 / 	52
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	DIX	Dixie	   	 	10	10	Cohen	Jorgensen	 / 	27
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	DUV	Duval	   	 	199	195	Cohen	Jorgensen	 / 	4713
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	ESC	Escambia	   	 	80	73	Cohen	Jorgensen	 / 	2007
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	FLA	Flagler	   	 	26	26	Cohen	Jorgensen	 / 	358
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	FRA	Franklin	   	 	8	0	Cohen	Jorgensen	 / 	27
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	GAD	Gadsden	   	 	25	25	Cohen	Jorgensen	 / 	96
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	GIL	Gilchrist	   	 	10	10	Cohen	Jorgensen	 / 	61
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	GLA	Glades	   	 	13	11	Cohen	Jorgensen	 / 	21
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	GUL	Gulf	   	 	10	10	Cohen	Jorgensen	 / 	48
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	HAM	Hamilton	   	 	8	8	Cohen	Jorgensen	 / 	33
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	HAR	Hardee	   	 	12	12	Cohen	Jorgensen	 / 	40
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	HEN	Hendry	   	 	10	10	Cohen	Jorgensen	 / 	65
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	HER	Hernando	   	 	32	32	Cohen	Jorgensen	 / 	685
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	HIG	Highlands	   	 	25	23	Cohen	Jorgensen	 / 	218
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	HIL	Hillsborough	   	 	390	370	Cohen	Jorgensen	 / 	5457
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	HOL	Holmes	   	 	8	0	Cohen	Jorgensen	 / 	45
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	IND	Indian River	   	 	35	35	Cohen	Jorgensen	 / 	519
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	JAC	Jackson	   	 	14	14	Cohen	Jorgensen	 / 	114
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	JEF	Jefferson	   	 	16	16	Cohen	Jorgensen	 / 	46
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	LAF	Lafayette	   	 	5	5	Cohen	Jorgensen	 / 	14
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	LAK	Lake	   	 	104	102	Cohen	Jorgensen	 / 	1374
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	LEE	Lee	   	 	127	124	Cohen	Jorgensen	 / 	1898
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	LEO	Leon	   	 	156	143	Cohen	Jorgensen	 / 	1303
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	LEV	Levy	   	 	13	0	Cohen	Jorgensen	 / 	130
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	LIB	Liberty	   	 	8	2	Cohen	Jorgensen	 / 	13
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	MAD	Madison	   	 	11	0	Cohen	Jorgensen	 / 	27
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	MAN	Manatee	   	 	70	70	Cohen	Jorgensen	 / 	1243
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	MON	Monroe	   	 	33	31	Cohen	Jorgensen	 / 	341
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	MRN	Marion	   	 	122	106	Cohen	Jorgensen	 / 	1125
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	MRT	Martin	   	 	28	28	Cohen	Jorgensen	 / 	448
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	NAS	Nassau	   	 	15	15	Cohen	Jorgensen	 / 	566
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	OKA	Okaloosa	   	 	52	46	Cohen	Jorgensen	 / 	1795
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	OKE	Okeechobee	   	 	11	8	Cohen	Jorgensen	 / 	64
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	ORA	Orange	   	 	247	244	Cohen	Jorgensen	 / 	4564
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	OSC	Osceola	   	 	101	0	Cohen	Jorgensen	 / 	697
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	PAL	Palm Beach	   	 	872	828	Cohen	Jorgensen	 / 	2845
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	PAS	Pasco	   	 	111	105	Cohen	Jorgensen	 / 	2156
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	PIN	Pinellas	   	 	301	297	Cohen	Jorgensen	 / 	4163
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	POL	Polk	   	 	167	0	Cohen	Jorgensen	 / 	2429
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	PUT	Putnam	   	 	35	0	Cohen	Jorgensen	 / 	217
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	SAN	Santa Rosa	   	 	41	23	Cohen	Jorgensen	 / 	1246
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	SAR	Sarasota	   	 	101	99	Cohen	Jorgensen	 / 	1451
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	SEM	Seminole	   	 	91	79	Cohen	Jorgensen	 / 	2189
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	STJ	St. Johns	   	 	48	0	Cohen	Jorgensen	 / 	1385
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	STL	St. Lucie	   	 	64	0	Cohen	Jorgensen	 / 	695
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	SUM	Sumter	   	 	26	26	Cohen	Jorgensen	 / 	268
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	SUW	Suwannee	   	 	16	16	Cohen	Jorgensen	 / 	119
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	TAY	Taylor	   	 	14	14	Cohen	Jorgensen	 / 	52
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	UNI	Union	   	 	8	8	Cohen	Jorgensen	 / 	42
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	VOL	Volusia	   	 	125	111	Cohen	Jorgensen	 / 	1903
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	WAK	Wakulla	   	 	12	12	Cohen	Jorgensen	 / 	110
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	WAL	Walton	   	 	21	18	Cohen	Jorgensen	 / 	326
11/03/2020	LPF	Libertarian Party	PRE	President of the United States	WAS	Washington	   	 	12	12	Cohen	Jorgensen	 / 	42
11/03/2020	REF	Reform Party	PRE	President of the United States	ALA	Alachua	   	 	63	63	Richardson	De La Fuente	 / 	68
11/03/2020	REF	Reform Party	PRE	President of the United States	BAK	Baker	   	 	9	9	Richardson	De La Fuente	 / 	4
11/03/2020	REF	Reform Party	PRE	President of the United States	BAY	Bay	   	 	44	0	Richardson	De La Fuente	 / 	16
11/03/2020	REF	Reform Party	PRE	President of the United States	BRA	Bradford	   	 	14	14	Richardson	De La Fuente	 / 	7
11/03/2020	REF	Reform Party	PRE	President of the United States	BRE	Brevard	   	 	171	165	Richardson	De La Fuente	 / 	208
11/03/2020	REF	Reform Party	PRE	President of the United States	BRO	Broward	   	 	577	461	Richardson	De La Fuente	 / 	395
11/03/2020	REF	Reform Party	PRE	President of the United States	CAL	Calhoun	   	 	11	0	Richardson	De La Fuente	 / 	2
11/03/2020	REF	Reform Party	PRE	President of the United States	CHA	Charlotte	   	 	68	11	Richardson	De La Fuente	 / 	44
11/03/2020	REF	Reform Party	PRE	President of the United States	CIT	Citrus	   	 	31	31	Richardson	De La Fuente	 / 	42
11/03/2020	REF	Reform Party	PRE	President of the United States	CLA	Clay	   	 	47	35	Richardson	De La Fuente	 / 	44
11/03/2020	REF	Reform Party	PRE	President of the United States	CLL	Collier	   	 	60	57	Richardson	De La Fuente	 / 	61
11/03/2020	REF	Reform Party	PRE	President of the United States	CLM	Columbia	   	 	22	22	Richardson	De La Fuente	 / 	12
11/03/2020	REF	Reform Party	PRE	President of the United States	DAD	Miami-Dade	   	 	866	415	Richardson	De La Fuente	 / 	540
11/03/2020	REF	Reform Party	PRE	President of the United States	DES	Desoto	   	 	15	0	Richardson	De La Fuente	 / 	12
11/03/2020	REF	Reform Party	PRE	President of the United States	DIX	Dixie	   	 	10	10	Richardson	De La Fuente	 / 	5
11/03/2020	REF	Reform Party	PRE	President of the United States	DUV	Duval	   	 	199	195	Richardson	De La Fuente	 / 	319
11/03/2020	REF	Reform Party	PRE	President of the United States	ESC	Escambia	   	 	80	73	Richardson	De La Fuente	 / 	100
11/03/2020	REF	Reform Party	PRE	President of the United States	FLA	Flagler	   	 	26	26	Richardson	De La Fuente	 / 	30
11/03/2020	REF	Reform Party	PRE	President of the United States	FRA	Franklin	   	 	8	0	Richardson	De La Fuente	 / 	4
11/03/2020	REF	Reform Party	PRE	President of the United States	GAD	Gadsden	   	 	25	25	Richardson	De La Fuente	 / 	8
11/03/2020	REF	Reform Party	PRE	President of the United States	GIL	Gilchrist	   	 	10	10	Richardson	De La Fuente	 / 	6
11/03/2020	REF	Reform Party	PRE	President of the United States	GLA	Glades	   	 	13	11	Richardson	De La Fuente	 / 	0
11/03/2020	REF	Reform Party	PRE	President of the United States	GUL	Gulf	   	 	10	10	Richardson	De La Fuente	 / 	6
11/03/2020	REF	Reform Party	PRE	President of the United States	HAM	Hamilton	   	 	8	8	Richardson	De La Fuente	 / 	6
11/03/2020	REF	Reform Party	PRE	President of the United States	HAR	Hardee	   	 	12	12	Richardson	De La Fuente	 / 	10
